Eigvals	3
42.58696151577423	26.800892033200547	9.570440247456649

Proportion explained	3
0.6913010306278966	0.27378672843443475	0.03491224093766842

Species	82	3
otu_1	-0.3289328686694688	0.0006335312363949626	-0.13192965260202863
otu_2	0.2796019550392178	0.5262263894696736	-0.01788567209329086
otu_4	-0.12390163527117329	0.07032983011139794	-0.30126803306680916
otu_6	-0.002642437772328412	-0.06202092274597123	-0.4299061259774571
otu_7	0.01843694119433671	-0.07891927864279877	-0.3575099280481833
otu_8	0.062497424242685305	0.163504882809247	-0.20216065647299977
otu_9	-0.17454975949697163	0.010647915356680892	-0.07317191343168464
otu_10	0.23629043341002914	0.033077024414322	-0.03967010769205685
otu_11	0.015315741654789258	-0.12515615140904676	-0.2549590454207943
otu_12	-0.25614600243876884	-0.018241405433087863	-0.13877427570564355
otu_13	-0.05665478702818952	-0.1354291800957167	0.07654135586500405
otu_14	0.13139987321038513	-0.0009498225125541803	-0.0631460538351041
otu_15	0.2946034673852661	0.002211750616891499	-0.06790898454931614
otu_16	0.1521701857076797	-0.06641779216402174	-0.029380953721777125
otu_17	0.1928166053043462	-0.04556627566282048	-0.014064975526927993
otu_18	0.05802592938606024	-0.1527523385102998	0.030435124244590373
otu_19	0.03943685038709238	-0.03400968755399515	-0.23139875223879114
otu_20	0.016544583156597955	0.23229322128616814	-0.12005541007420877
otu_21	0.0712469232395599	0.21757194732525942	-0.015591311043775776
otu_22	0.12018718376258165	0.08100371605491356	-0.09712236456816135
otu_24	-0.09953846026046627	-0.009034174530129063	-0.151481558240929
otu_25	0.012145742917022861	0.010462539036427437	-0.03873683287422957
otu_26	-0.1705619382543789	0.24185738548336885	0.13721457780543886
otu_27	0.007026287019124203	0.2218137720080844	0.026262272118051006
otu_29	0.12582993362252054	-0.11546984659034104	0.10057697001179564
otu_30	0.1934991699313552	-0.23711891678698932	0.005321564652370363
otu_31	0.018893636415584978	-0.07532965097658068	-0.08261409704948496
otu_32	0.0783574529189496	-0.04560677827992025	0.013094759144355862
otu_34	-0.09468142921518242	-0.05507697539387954	-0.141740277419222
otu_35	0.0985817931048023	-0.10665122296778967	-0.04266395703033044
otu_36	0.057777714311394106	0.03768188043188354	-0.09504164556123294
otu_37	0.12724613304952254	-0.05702414311601698	0.01593143720792539
otu_38	0.03784852157353551	-0.08312913322393833	0.053120379885142475
